A	3000	* (-1) 1	->	-1
A	3000	* (-1) abs (-1)	->	-1
A	3000	* (-1) abs 1	->	-1
A	3000	* (-1) inv 1	->	-1
A	3000	* (-1) neg (-1)	->	-1
A	3000	* (-10) inv 10	->	-1
A	3000	* (-2) inv 2	->	-1
A	3000	* (-3) inv 3	->	-1
A	3000	* (-4) inv 4	->	-1
A	3000	* (-5) inv 5	->	-1
A	3000	* (-6) inv 6	->	-1
A	3000	* (-7) inv 7	->	-1
A	3000	* (-8) inv 8	->	-1
A	3000	* (-9) inv 9	->	-1
A	3000	* 1 (-1)	->	-1
A	3000	* 1 inv (-1)	->	-1
A	3000	* 1 neg 1	->	-1
A	3000	* 10 inv (-10)	->	-1
A	3000	* 2 inv (-2)	->	-1
A	3000	* 3 inv (-3)	->	-1
A	3000	* 4 inv (-4)	->	-1
A	3000	* 5 inv (-5)	->	-1
A	3000	* 6 inv (-6)	->	-1
A	3000	* 7 inv (-7)	->	-1
A	3000	* 8 inv (-8)	->	-1
A	3000	* 9 inv (-9)	->	-1
A	3000	* abs (-1) (-1)	->	-1
A	3000	* abs 1 (-1)	->	-1
A	3000	* inv (-1) 1	->	-1
A	3000	* inv (-10) 10	->	-1
A	3000	* inv (-2) 2	->	-1
A	3000	* inv (-3) 3	->	-1
A	3000	* inv (-4) 4	->	-1
A	3000	* inv (-5) 5	->	-1
A	3000	* inv (-6) 6	->	-1
A	3000	* inv (-7) 7	->	-1
A	3000	* inv (-8) 8	->	-1
A	3000	* inv (-9) 9	->	-1
A	3000	* inv 1 (-1)	->	-1
A	3000	* inv 10 (-10)	->	-1
A	3000	* inv 2 (-2)	->	-1
A	3000	* inv 3 (-3)	->	-1
A	3000	* inv 4 (-4)	->	-1
A	3000	* inv 5 (-5)	->	-1
A	3000	* inv 6 (-6)	->	-1
A	3000	* inv 7 (-7)	->	-1
A	3000	* inv 8 (-8)	->	-1
A	3000	* inv 9 (-9)	->	-1
A	3000	* neg (-1) (-1)	->	-1
A	3000	* neg 1 1	->	-1
A	3000	+ (-1) 0	->	-1
A	3000	+ (-1) abs 0	->	-1
A	3000	+ (-1) inv float("-inf")	->	-1
A	3000	+ (-1) inv float("inf")	->	-1
A	3000	+ (-1) neg 0	->	-1
A	3000	+ (-10) 9	->	-1
A	3000	+ (-10) abs (-9)	->	-1
A	3000	+ (-10) abs 9	->	-1
A	3000	+ (-10) neg (-9)	->	-1
A	3000	+ (-2) 1	->	-1
A	3000	+ (-2) abs (-1)	->	-1
A	3000	+ (-2) abs 1	->	-1
A	3000	+ (-2) inv 1	->	-1
A	3000	+ (-2) neg (-1)	->	-1
A	3000	+ (-3) 2	->	-1
A	3000	+ (-3) abs (-2)	->	-1
A	3000	+ (-3) abs 2	->	-1
A	3000	+ (-3) neg (-2)	->	-1
A	3000	+ (-4) 3	->	-1
A	3000	+ (-4) abs (-3)	->	-1
A	3000	+ (-4) abs 3	->	-1
A	3000	+ (-4) neg (-3)	->	-1
A	3000	+ (-5) 4	->	-1
A	3000	+ (-5) abs (-4)	->	-1
A	3000	+ (-5) abs 4	->	-1
A	3000	+ (-5) neg (-4)	->	-1
A	3000	+ (-6) 5	->	-1
A	3000	+ (-6) abs (-5)	->	-1
A	3000	+ (-6) abs 5	->	-1
A	3000	+ (-6) neg (-5)	->	-1
A	3000	+ (-7) 6	->	-1
A	3000	+ (-7) abs (-6)	->	-1
A	3000	+ (-7) abs 6	->	-1
A	3000	+ (-7) neg (-6)	->	-1
A	3000	+ (-8) 7	->	-1
A	3000	+ (-8) abs (-7)	->	-1
A	3000	+ (-8) abs 7	->	-1
A	3000	+ (-8) neg (-7)	->	-1
A	3000	+ (-9) 8	->	-1
A	3000	+ (-9) abs (-8)	->	-1
A	3000	+ (-9) abs 8	->	-1
A	3000	+ (-9) neg (-8)	->	-1
A	3000	+ 0 (-1)	->	-1
A	3000	+ 0 inv (-1)	->	-1
A	3000	+ 0 neg 1	->	-1
A	3000	+ 1 (-2)	->	-1
A	3000	+ 1 neg 2	->	-1
A	3000	+ 2 (-3)	->	-1
A	3000	+ 2 neg 3	->	-1
A	3000	+ 3 (-4)	->	-1
A	3000	+ 3 neg 4	->	-1
A	3000	+ 4 (-5)	->	-1
A	3000	+ 4 neg 5	->	-1
A	3000	+ 5 (-6)	->	-1
A	3000	+ 5 neg 6	->	-1
A	3000	+ 6 (-7)	->	-1
A	3000	+ 6 neg 7	->	-1
A	3000	+ 7 (-8)	->	-1
A	3000	+ 7 neg 8	->	-1
A	3000	+ 8 (-9)	->	-1
A	3000	+ 8 neg 9	->	-1
A	3000	+ 9 (-10)	->	-1
A	3000	+ 9 neg 10	->	-1
A	3000	+ abs (-1) (-2)	->	-1
A	3000	+ abs (-2) (-3)	->	-1
A	3000	+ abs (-3) (-4)	->	-1
A	3000	+ abs (-4) (-5)	->	-1
A	3000	+ abs (-5) (-6)	->	-1
A	3000	+ abs (-6) (-7)	->	-1
A	3000	+ abs (-7) (-8)	->	-1
A	3000	+ abs (-8) (-9)	->	-1
A	3000	+ abs (-9) (-10)	->	-1
A	3000	+ abs 0 (-1)	->	-1
A	3000	+ abs 1 (-2)	->	-1
A	3000	+ abs 2 (-3)	->	-1
A	3000	+ abs 3 (-4)	->	-1
A	3000	+ abs 4 (-5)	->	-1
A	3000	+ abs 5 (-6)	->	-1
A	3000	+ abs 6 (-7)	->	-1
A	3000	+ abs 7 (-8)	->	-1
A	3000	+ abs 8 (-9)	->	-1
A	3000	+ abs 9 (-10)	->	-1
A	3000	+ inv (-1) 0	->	-1
A	3000	+ inv 1 (-2)	->	-1
A	3000	+ inv float("-inf") (-1)	->	-1
A	3000	+ inv float("inf") (-1)	->	-1
A	3000	+ neg (-1) (-2)	->	-1
A	3000	+ neg (-2) (-3)	->	-1
A	3000	+ neg (-3) (-4)	->	-1
A	3000	+ neg (-4) (-5)	->	-1
A	3000	+ neg (-5) (-6)	->	-1
A	3000	+ neg (-6) (-7)	->	-1
A	3000	+ neg (-7) (-8)	->	-1
A	3000	+ neg (-8) (-9)	->	-1
A	3000	+ neg (-9) (-10)	->	-1
A	3000	+ neg 0 (-1)	->	-1
A	3000	+ neg 1 0	->	-1
A	3000	+ neg 10 9	->	-1
A	3000	+ neg 2 1	->	-1
A	3000	+ neg 3 2	->	-1
A	3000	+ neg 4 3	->	-1
A	3000	+ neg 5 4	->	-1
A	3000	+ neg 6 5	->	-1
A	3000	+ neg 7 6	->	-1
A	3000	+ neg 8 7	->	-1
A	3000	+ neg 9 8	->	-1
A	3000	- (-1) 0	->	-1
A	3000	- (-1) abs 0	->	-1
A	3000	- (-1) inv float("-inf")	->	-1
A	3000	- (-1) inv float("inf")	->	-1
A	3000	- (-1) neg 0	->	-1
A	3000	- (-10) (-9)	->	-1
A	3000	- (-10) neg 9	->	-1
A	3000	- (-2) (-1)	->	-1
A	3000	- (-2) inv (-1)	->	-1
A	3000	- (-2) neg 1	->	-1
A	3000	- (-3) (-2)	->	-1
A	3000	- (-3) neg 2	->	-1
A	3000	- (-4) (-3)	->	-1
A	3000	- (-4) neg 3	->	-1
A	3000	- (-5) (-4)	->	-1
A	3000	- (-5) neg 4	->	-1
A	3000	- (-6) (-5)	->	-1
A	3000	- (-6) neg 5	->	-1
A	3000	- (-7) (-6)	->	-1
A	3000	- (-7) neg 6	->	-1
A	3000	- (-8) (-7)	->	-1
A	3000	- (-8) neg 7	->	-1
A	3000	- (-9) (-8)	->	-1
A	3000	- (-9) neg 8	->	-1
A	3000	- 0 1	->	-1
A	3000	- 0 abs (-1)	->	-1
A	3000	- 0 abs 1	->	-1
A	3000	- 0 inv 1	->	-1
A	3000	- 0 neg (-1)	->	-1
A	3000	- 1 2	->	-1
A	3000	- 1 abs (-2)	->	-1
A	3000	- 1 abs 2	->	-1
A	3000	- 1 neg (-2)	->	-1
A	3000	- 2 3	->	-1
A	3000	- 2 abs (-3)	->	-1
A	3000	- 2 abs 3	->	-1
A	3000	- 2 neg (-3)	->	-1
A	3000	- 3 4	->	-1
A	3000	- 3 abs (-4)	->	-1
A	3000	- 3 abs 4	->	-1
A	3000	- 3 neg (-4)	->	-1
A	3000	- 4 5	->	-1
A	3000	- 4 abs (-5)	->	-1
A	3000	- 4 abs 5	->	-1
A	3000	- 4 neg (-5)	->	-1
A	3000	- 5 6	->	-1
A	3000	- 5 abs (-6)	->	-1
A	3000	- 5 abs 6	->	-1
A	3000	- 5 neg (-6)	->	-1
A	3000	- 6 7	->	-1
A	3000	- 6 abs (-7)	->	-1
A	3000	- 6 abs 7	->	-1
A	3000	- 6 neg (-7)	->	-1
A	3000	- 7 8	->	-1
A	3000	- 7 abs (-8)	->	-1
A	3000	- 7 abs 8	->	-1
A	3000	- 7 neg (-8)	->	-1
A	3000	- 8 9	->	-1
A	3000	- 8 abs (-9)	->	-1
A	3000	- 8 abs 9	->	-1
A	3000	- 8 neg (-9)	->	-1
A	3000	- 9 10	->	-1
A	3000	- 9 abs (-10)	->	-1
A	3000	- 9 abs 10	->	-1
A	3000	- 9 neg (-10)	->	-1
A	3000	- abs (-1) 2	->	-1
A	3000	- abs (-2) 3	->	-1
A	3000	- abs (-3) 4	->	-1
A	3000	- abs (-4) 5	->	-1
A	3000	- abs (-5) 6	->	-1
A	3000	- abs (-6) 7	->	-1
A	3000	- abs (-7) 8	->	-1
A	3000	- abs (-8) 9	->	-1
A	3000	- abs (-9) 10	->	-1
A	3000	- abs 0 1	->	-1
A	3000	- abs 1 2	->	-1
A	3000	- abs 2 3	->	-1
A	3000	- abs 3 4	->	-1
A	3000	- abs 4 5	->	-1
A	3000	- abs 5 6	->	-1
A	3000	- abs 6 7	->	-1
A	3000	- abs 7 8	->	-1
A	3000	- abs 8 9	->	-1
A	3000	- abs 9 10	->	-1
A	3000	- inv (-1) 0	->	-1
A	3000	- inv 1 2	->	-1
A	3000	- inv float("-inf") 1	->	-1
A	3000	- inv float("inf") 1	->	-1
A	3000	- neg (-1) 2	->	-1
A	3000	- neg (-2) 3	->	-1
A	3000	- neg (-3) 4	->	-1
A	3000	- neg (-4) 5	->	-1
A	3000	- neg (-5) 6	->	-1
A	3000	- neg (-6) 7	->	-1
A	3000	- neg (-7) 8	->	-1
A	3000	- neg (-8) 9	->	-1
A	3000	- neg (-9) 10	->	-1
A	3000	- neg 0 1	->	-1
A	3000	- neg 1 0	->	-1
A	3000	- neg 10 (-9)	->	-1
A	3000	- neg 2 (-1)	->	-1
A	3000	- neg 3 (-2)	->	-1
A	3000	- neg 4 (-3)	->	-1
A	3000	- neg 5 (-4)	->	-1
A	3000	- neg 6 (-5)	->	-1
A	3000	- neg 7 (-6)	->	-1
A	3000	- neg 8 (-7)	->	-1
A	3000	- neg 9 (-8)	->	-1
A	3000	/ (-1) 1	->	-1
A	3000	/ (-1) abs (-1)	->	-1
A	3000	/ (-1) abs 1	->	-1
A	3000	/ (-1) inv 1	->	-1
A	3000	/ (-1) neg (-1)	->	-1
A	3000	/ (-10) 10	->	-1
A	3000	/ (-10) abs (-10)	->	-1
A	3000	/ (-10) abs 10	->	-1
A	3000	/ (-10) neg (-10)	->	-1
A	3000	/ (-2) 2	->	-1
A	3000	/ (-2) abs (-2)	->	-1
A	3000	/ (-2) abs 2	->	-1
A	3000	/ (-2) neg (-2)	->	-1
A	3000	/ (-3) 3	->	-1
A	3000	/ (-3) abs (-3)	->	-1
A	3000	/ (-3) abs 3	->	-1
A	3000	/ (-3) neg (-3)	->	-1
A	3000	/ (-4) 4	->	-1
A	3000	/ (-4) abs (-4)	->	-1
A	3000	/ (-4) abs 4	->	-1
A	3000	/ (-4) neg (-4)	->	-1
A	3000	/ (-5) 5	->	-1
A	3000	/ (-5) abs (-5)	->	-1
A	3000	/ (-5) abs 5	->	-1
A	3000	/ (-5) neg (-5)	->	-1
A	3000	/ (-6) 6	->	-1
A	3000	/ (-6) abs (-6)	->	-1
A	3000	/ (-6) abs 6	->	-1
A	3000	/ (-6) neg (-6)	->	-1
A	3000	/ (-7) 7	->	-1
A	3000	/ (-7) abs (-7)	->	-1
A	3000	/ (-7) abs 7	->	-1
A	3000	/ (-7) neg (-7)	->	-1
A	3000	/ (-8) 8	->	-1
A	3000	/ (-8) abs (-8)	->	-1
A	3000	/ (-8) abs 8	->	-1
A	3000	/ (-8) neg (-8)	->	-1
A	3000	/ (-9) 9	->	-1
A	3000	/ (-9) abs (-9)	->	-1
A	3000	/ (-9) abs 9	->	-1
A	3000	/ (-9) neg (-9)	->	-1
A	3000	/ 1 (-1)	->	-1
A	3000	/ 1 inv (-1)	->	-1
A	3000	/ 1 neg 1	->	-1
A	3000	/ 10 (-10)	->	-1
A	3000	/ 10 neg 10	->	-1
A	3000	/ 2 (-2)	->	-1
A	3000	/ 2 neg 2	->	-1
A	3000	/ 3 (-3)	->	-1
A	3000	/ 3 neg 3	->	-1
A	3000	/ 4 (-4)	->	-1
A	3000	/ 4 neg 4	->	-1
A	3000	/ 5 (-5)	->	-1
A	3000	/ 5 neg 5	->	-1
A	3000	/ 6 (-6)	->	-1
A	3000	/ 6 neg 6	->	-1
A	3000	/ 7 (-7)	->	-1
A	3000	/ 7 neg 7	->	-1
A	3000	/ 8 (-8)	->	-1
A	3000	/ 8 neg 8	->	-1
A	3000	/ 9 (-9)	->	-1
A	3000	/ 9 neg 9	->	-1
A	3000	/ abs (-1) (-1)	->	-1
A	3000	/ abs (-10) (-10)	->	-1
A	3000	/ abs (-2) (-2)	->	-1
A	3000	/ abs (-3) (-3)	->	-1
A	3000	/ abs (-4) (-4)	->	-1
A	3000	/ abs (-5) (-5)	->	-1
A	3000	/ abs (-6) (-6)	->	-1
A	3000	/ abs (-7) (-7)	->	-1
A	3000	/ abs (-8) (-8)	->	-1
A	3000	/ abs (-9) (-9)	->	-1
A	3000	/ abs 1 (-1)	->	-1
A	3000	/ abs 10 (-10)	->	-1
A	3000	/ abs 2 (-2)	->	-1
A	3000	/ abs 3 (-3)	->	-1
